<<<<<<< HEAD
,Searched,City,State,Lat,Lng,Restaurant,Category,Category 2,Category 3,Transactions
51,"North Bergen township, New Jersey",New York,NY,40.76733,-73.98945,Mamasita Bar & Grill,Mexican,,Vegetarian,['delivery']
52,"North Bergen township, New Jersey",Guttenberg,NJ,40.79126,-74.00167,GP's Restaurant,Italian,,,[]
53,"North Bergen township, New Jersey",Edgewater,NJ,40.8059111677674,-73.9875190460327,Fleming's Prime Steakhouse & Wine Bar- Edgewater,Steakhouses,Fast Food,Seafood,[]
54,"North Bergen township, New Jersey",New York,NY,40.76499,-73.98835,Casellula,Wine Bars,,,"['delivery', 'pickup']"
55,"North Bergen township, New Jersey",New York,NY,40.7631,-73.99335,Ñaño Ecuadorian Kitchen,Latin American,Gas Stations,,"['delivery', 'pickup']"
56,"North Bergen township, New Jersey",New York,NY,40.76202,-73.98765,Churrascaria Plataforma,Brazilian,Delis,,"['delivery', 'pickup']"
57,"North Bergen township, New Jersey",West New York,NJ,40.78953,-74.00531,Parker,Breakfast & Brunch,Shaved Ice,,[]
58,"North Bergen township, New Jersey",North Bergen,NJ,40.80089,-74.00764,Trova Cuban Cafe,Cuban,,,['delivery']
59,"North Bergen township, New Jersey",New York,NY,40.764345,-73.98798,K Rico Steakhouse,Bars,Fast Food,Venues & Event Spaces,['delivery']
60,"North Bergen township, New Jersey",New York,NY,40.759624,-73.9958265,Rustic Table,Mediterranean,,Wine Bars,[]
61,"North Bergen township, New Jersey",New York,NY,40.768818,-73.988525,Rex,Coffee & Tea,,Bakeries,"['delivery', 'pickup']"
62,"North Bergen township, New Jersey",New York,NY,40.76004,-73.99182,Rudy's Bar & Grill,Dive Bars,Italian,,[]
63,"North Bergen township, New Jersey",New York,NY,40.762876,-73.983837,Gallaghers Steakhouse,Steakhouses,Juice Bars & Smoothies,American (Traditional),['delivery']
64,"North Bergen township, New Jersey",Guttenberg,NJ,40.790152,-74.000747,The Burp Kitchen,Indian,Bars,Sandwiches,"['delivery', 'pickup']"
65,"North Bergen township, New Jersey",West New York,NJ,40.7814025762396,-74.005708694458,Son Cubano,Cuban,Bars,,[]
66,"North Bergen township, New Jersey",New York,NY,40.76015,-73.9893699,Dim Sum Palace,Dim Sum,,,"['delivery', 'pickup']"
67,"North Bergen township, New Jersey",Guttenberg,NJ,40.790165,-74.000752,O2 BBQ,Korean,Wine Bars,Bars,"['delivery', 'pickup']"
68,"North Bergen township, New Jersey",New York,NY,40.76138,-73.99071,Lilly's Craft and Kitchen,Bars,American (New),Breakfast & Brunch,['delivery']
69,"North Bergen township, New Jersey",New York,NY,40.76495,-73.98747,Wondee Siam,Thai,,,[]
70,"North Bergen township, New Jersey",New York,NY,40.76064,-73.99023,Hold Fast Kitchen and Spirits,Cocktail Bars,Bars,,['delivery']
71,"North Bergen township, New Jersey",North Bergen,NJ,40.80027,-74.00736,Sweets & Cortaditos,Coffee & Tea,,Bakeries,['delivery']
72,"North Bergen township, New Jersey",New York,NY,40.762711,-73.986708,Don Antonio,Pizza,Steakhouses,Cocktail Bars,"['pickup', 'delivery']"
73,"North Bergen township, New Jersey",Union City,NJ,40.7702123810457,-74.0288150168948,Five Stars Thai Cuisine,Thai,,,[]
74,"North Bergen township, New Jersey",Edgewater,NJ,40.809473,-73.99067,Cafe Archetypus,Desserts,Coffee & Tea,,"['pickup', 'delivery']"
75,"North Bergen township, New Jersey",New York,NY,40.7594583,-73.9868048,Patzeria Perfect Pizza,Pizza,,Breakfast & Brunch,"['pickup', 'delivery']"
76,"North Bergen township, New Jersey",North Bergen,NJ,40.8000603,-74.0082321,Las Chicas Bakery & Cafe,Desserts,Cafes,Bakeries,['delivery']
77,"North Bergen township, New Jersey",New York,NY,40.76018,-73.991093,5 Napkin Burger,Burgers,,,['delivery']
78,"North Bergen township, New Jersey",Union City,NJ,40.7781785042697,-74.0174002021881,Merge Cafe,American (New),Steakhouses,Pizza,['delivery']
79,"North Bergen township, New Jersey",New York,NY,40.75831,-73.98416,Havana Central,Cuban,Breakfast & Brunch,,['delivery']
80,"North Bergen township, New Jersey",New York,NY,40.7614625,-73.9860519,Lillie's Victorian Establishment,Bars,Sandwiches,Burgers,['delivery']
81,"North Bergen township, New Jersey",New York,NY,40.76247,-73.9901,Mom's Kitchen & Bar,Comfort Food,Hot Dogs,Bars,[]
82,"North Bergen township, New Jersey",New York,NY,40.76121,-73.99024,Amy's Bread,Bakeries,,Coffee & Tea,['delivery']
83,"North Bergen township, New Jersey",New York,NY,40.7629499,-73.98403,Victor's Cafe,Cuban,Seafood,Lounges,"['pickup', 'delivery']"
84,"North Bergen township, New Jersey",New York,NY,40.765055,-73.991001,Totto Ramen Hell's Kitchen,Ramen,Salad,,"['pickup', 'delivery']"
85,"North Bergen township, New Jersey",Guttenberg,NJ,40.7929206,-74.0031012,Lotus Thai Cuisine,Thai,Venues & Event Spaces,,[]
86,"North Bergen township, New Jersey",West New York,NJ,40.7886000067463,-74.0171335637569,Social 59 Eatery & Lounge,Latin American,,Tapas/Small Plates,"['pickup', 'delivery']"
87,"North Bergen township, New Jersey",New York,NY,40.764666,-73.9912643,Samba Kitchen,Brazilian,Cantonese,Breakfast & Brunch,[]
88,"North Bergen township, New Jersey",New York,NY,40.7661052157931,-73.9909893717713,Taboon,Middle Eastern,,,['delivery']
89,"North Bergen township, New Jersey",New York,NY,40.76277,-73.98969,VIV,Thai,Barbeque,Asian Fusion,"['pickup', 'delivery']"
90,"North Bergen township, New Jersey",New York,NY,40.7588993,-73.991915,Red Poke,Poke,American (New),Japanese,[]
91,"North Bergen township, New Jersey",New York,NY,40.75908,-73.98989,Gyu-Kaku Japanese BBQ,Japanese,,Asian Fusion,"['pickup', 'delivery']"
92,"North Bergen township, New Jersey",New York,NY,40.764525,-73.999613,Intrepid Sea Air & Space Museum,Museums,Tapas/Small Plates,,['delivery']
93,"North Bergen township, New Jersey",New York,NY,40.7633788826172,-73.9939211390981,The Jolly Goat Coffee Bar,Coffee & Tea,,Bagels,"['pickup', 'delivery']"
94,"North Bergen township, New Jersey",New York,NY,40.76234,-73.99695,dell'anima,Italian,Cuban,,['delivery']
95,"North Bergen township, New Jersey",New York,NY,40.766758,-73.986144,Kashkaval Garden,Mediterranean,Italian,Tapas Bars,"['pickup', 'delivery']"
96,"North Bergen township, New Jersey",New York,NY,40.7637997047278,-73.9880919456482,Briciola,Italian,Vegetarian,Tapas Bars,[]
97,"North Bergen township, New Jersey",New York,NY,40.75744,-73.99357,Capizzi,Pizza,,,[]
98,"North Bergen township, New Jersey",New York,NY,40.76244,-73.98674,The Blue Dog Cookhouse & Bar,Breakfast & Brunch,Mediterranean,French,"['pickup', 'delivery']"
99,"North Bergen township, New Jersey",New York,NY,40.7595642,-73.9884984,Amorino Gelato,Gelato,,Coffee & Tea,[]
100,"Newark city, Ohio",Newark,OH,40.06693,-82.40685,Debra's Pizza,Italian,Italian,Salad,['delivery']
101,"Newark city, Ohio",Newark,OH,40.080978,-82.428581,Tee Jaye's Country Place,Breakfast & Brunch,Coffee & Tea,Comfort Food,[]
102,"Newark city, Ohio",Newark,OH,40.087346347012,-82.4281279742718,Steak ’n Shake,Fast Food,,American (Traditional),"['pickup', 'delivery']"
103,"Newark city, Ohio",Newark,OH,40.05378,-82.41976,Jug'z Tavern,Bars,Burgers,,"['pickup', 'delivery']"
104,"Newark city, Ohio",Newark,OH,40.05766,-82.43069,Marco's Pizza,Salad,Latin American,Pizza,['delivery']
105,"Newark city, Ohio",Newark,OH,40.07459,-82.4293,Tim Hortons,Coffee & Tea,,,"['delivery', 'pickup']"
106,"Newark city, Ohio",Newark,OH,40.05403,-82.41869,TanniCakes,Cupcakes,Gastropubs,Bakeries,['delivery']
107,"Newark city, Ohio",Newark,OH,40.05223,-82.4194799,Dew Drop Inn,Bars,Breakfast & Brunch,,"['delivery', 'pickup']"
108,"Newark city, Ohio",Newark,OH,40.058597,-82.402732,McKenna’s Market,Cheese Shops,Sandwiches,Delis,"['delivery', 'pickup']"
109,"Newark city, Ohio",Newark,OH,40.07761,-82.4288399,Donatos Pizza,Pizza,Tapas Bars,,[]
110,"Newark city, Ohio",Newark,OH,40.09265,-82.42739,Lee's Famous Recipe Chicken,Chicken Wings,,Sandwiches,[]
111,"Newark city, Ohio",Newark,OH,40.0834199,-82.42831,Panda Express,Chinese,,,[]
112,"Newark city, Ohio",Heath,OH,40.03071,-82.44156,Tokyo Japanese Steakhouse,Japanese,Lounges,Steakhouses,[]
113,"Newark city, Ohio",Newark,OH,40.08124161,-82.427742,Firehouse Subs,Fast Food,Latin American,Sandwiches,"['delivery', 'pickup']"
114,"Newark city, Ohio",Heath,OH,40.03323005576,-82.4434879143048,Kanji Japanese Steakhouse,Japanese,Mediterranean,,"['delivery', 'pickup']"
115,"Newark city, Ohio",Newark,OH,40.058442,-82.447684,Slingin' Pizza,Pizza,,,[]
116,"Newark city, Ohio",Newark,OH,40.0847376,-82.4177587,Sweet ”23”,Bakeries,Bars,Cupcakes,"['delivery', 'pickup']"
117,"Newark city, Ohio",Newark,OH,40.0476376,-82.404669,Brewsky's Pizza & Drive Thru,Pizza,Korean,Salad,[]
118,"Newark city, Ohio",Heath,OH,40.0383601166552,-82.4299319313002,Chipotle Mexican Grill,Mexican,Barbeque,,"['delivery', 'pickup']"
119,"Newark city, Ohio",Newark,OH,40.0437711,-82.4304012,Newark Earthworks,Landmarks & Historical Buildings,,,[]
120,"Newark city, Ohio",Newark,OH,40.0861331,-82.4211678,Cupps Soft Serve,Ice Cream & Frozen Yogurt,Cafes,,['delivery']
121,"Newark city, Ohio",Newark,OH,40.0964897147952,-82.4266699,Dairy Queen,Ice Cream & Frozen Yogurt,,,[]
122,"Newark city, Ohio",Newark,OH,40.0841964369211,-82.4282455685466,McDonald's,Fast Food,Fondue,Coffee & Tea,['delivery']
123,"Newark city, Ohio",Newark,OH,40.05848,-82.4503,Jimmy John's,Sandwiches,Wine Bars,Fast Food,[]
124,"Newark city, Ohio",Newark,OH,40.075838,-82.428004,Sliced Up Pizza,Pizza,,,"['delivery', 'pickup']"
125,"Newark city, Ohio",Newark,OH,40.0841460833134,-82.4271053820848,Bob Evans,American (Traditional),American (New),Comfort Food,['delivery']
126,"Newark city, Ohio",Heath,OH,40.0279430543151,-82.4478006362915,LongHorn Steakhouse,Steakhouses,Desserts,Barbeque,['delivery']
127,"Newark city, Ohio",Heath,OH,40.029209,-82.443052,Shade,American (Traditional),Pizza,Pizza,['delivery']
128,"Newark city, Ohio",Newark,OH,40.0862132,-82.4252719,Cheng's Gourmet,Chinese,Diners,,['delivery']
129,"Newark city, Ohio",Newark,OH,40.078324,-82.428373,Taco Bell,Mexican,Burgers,,['delivery']
130,"Newark city, Ohio",Newark,OH,40.05862,-82.40316,The Center,Bars,,,[]
131,"Newark city, Ohio",Heath,OH,40.0364146603978,-82.4329988,Buffalo Wild Wings,American (Traditional),Chicken Wings,Chicken Wings,['delivery']
132,"Newark city, Ohio",Newark,OH,40.05415,-82.41744,Incredible Pizza Co,Pizza,Donuts,,['delivery']
133,"Newark city, Ohio",Newark,OH,40.044021,-82.418552,Mnches Kitchen,Tacos,,Burgers,['delivery']
134,"Newark city, Ohio",Heath,OH,40.036114,-82.433101,Jersey Mike's Subs,Sandwiches,Desserts,Delis,['delivery']
135,"Newark city, Ohio",Newark,OH,40.080154,-82.430756,Starbucks,Coffee & Tea,,,[]
136,"Newark city, Ohio",Heath,OH,40.0283,-82.44323,Puerto Villarta,Mexican,"Beer, Wine & Spirits",,"['delivery', 'pickup']"
137,"Newark city, Ohio",Newark,OH,40.056217,-82.400467,Skyline At The Works,American (New),,,['delivery']
138,"Newark city, Ohio",Heath,OH,40.0404598661388,-82.4287261068821,The Great Circle Earthworks at Moundbuilders Park,Parks,Desserts,,"['delivery', 'pickup']"
139,"Newark city, Ohio",Newark,OH,40.08612,-82.42799,Wendy's,Fast Food,Fast Food,,"['delivery', 'pickup']"
140,"Newark city, Ohio",Newark,OH,40.084974,-82.425,Creno's Pizza,Pizza,,,[]
141,"Newark city, Ohio",Newark,OH,40.082413,-82.42838,Burger King,Fast Food,Sushi Bars,,[]
142,"Newark city, Ohio",Heath,OH,40.030798,-82.440036,Frisch's Big Boy,Burgers,Delis,Diners,['delivery']
143,"Newark city, Ohio",Heath,OH,40.029142492303,-82.4403440952301,East West Restaraunt,Chinese,Steakhouses,Buffets,"['pickup', 'delivery']"
144,"Newark city, Ohio",Newark,OH,40.07406,-82.42821,Rally's,Burgers,,,['delivery']
145,"Newark city, Ohio",Heath,OH,40.02715,-82.443902,Olive Garden Italian Restaurant,Italian,,Soup,[]
146,"Newark city, Ohio",Newark,OH,40.050064,-82.4207,Midway Tap,Dive Bars,Sandwiches,,"['pickup', 'delivery']"
147,"Newark city, Ohio",Heath,OH,40.0327475254985,-82.4367302658356,Panera Bread,Sandwiches,Sandwiches,Soup,['delivery']
148,"Newark city, Ohio",Newark,OH,40.0565872192383,-82.3998184204102,The Grill Works Deli And Catering,Delis,Fast Food,,"['pickup', 'delivery']"
149,"Newark city, Ohio",Newark,NTT,53.0581452,-0.853878,Sir John Arderne,Pubs,,,['delivery']
150,"Bibb County, Georgia",Macon,GA,32.820404,-83.711844,WnB Factory,Chicken Wings,,,[]
151,"Bibb County, Georgia",Macon,GA,32.7906816125378,-83.6703434586524,McDonald's,Burgers,Cupcakes,Coffee & Tea,[]
152,"Bibb County, Georgia",Macon,GA,32.8426208,-83.6872025,Fish House II,Restaurants,,,['delivery']
153,"Bibb County, Georgia",Macon,GA,32.7878799,-83.7075653,Nu-Way Weiners,Breakfast & Brunch,,,['delivery']
154,"Bibb County, Georgia",Macon,GA,32.814886,-83.663913,Wendy's,Burgers,Burgers,,['delivery']
155,"Bibb County, Georgia",Macon,GA,32.82048,-83.68827,Chuck E. Cheese,Pizza,Delis,Kids Activities,"['pickup', 'delivery']"
156,"Bibb County, Georgia",Macon,GA,32.780857,-83.6646657,L & W Sports Center,Pool Halls,,Karaoke,"['pickup', 'delivery']"
157,"Bibb County, Georgia",Macon,GA,32.79975,-83.6655399,Hot Wings Plus,Chicken Wings,Breakfast & Brunch,,['delivery']
158,"Bibb County, Georgia",Macon,GA,32.7926598,-83.6678467,Arby's,Fast Food,American (Traditional),,"['pickup', 'delivery']"
159,"Bibb County, Georgia",Macon,GA,32.823227,-83.698783,Sparks Sports Bar,Sports Bars,Chicken Wings,,"['pickup', 'delivery']"
160,"Bibb County, Georgia",Macon,GA,32.838631,-83.6628111,American Deli,American (Traditional),,,['delivery']
161,"Bibb County, Georgia",Macon,GA,32.820771689948,-83.6895592721668,Checkers,Fast Food,Fast Food,,['pickup']
162,"Bibb County, Georgia",Macon,GA,32.81598508214909,-83.68304117685615,Louvenia's Crab Cake Hut,Seafood,,,[]
163,"Bibb County, Georgia",Macon,GA,32.81876028197009,-83.6977976017444,KFC,Chicken Wings,,Chicken Shop,"['pickup', 'delivery']"
164,"Bibb County, Georgia",Macon,GA,32.7910763,-83.6688379,Mrs. Sunshine's Country Kitchen,American (Traditional),Sports Bars,,"['pickup', 'delivery']"
165,"Bibb County, Georgia",Macon,GA,32.8226852,-83.6991852,Pho Saigon,Chinese,,,[]
166,"Bibb County, Georgia",Macon,GA,32.7903796312808,-83.6681451912782,Subway,Sandwiches,American (New),,"['pickup', 'delivery']"
167,"Bibb County, Georgia",Macon,GA,32.815212,-83.6623,Captain D's,Seafood,Fast Food,American (Traditional),[]
168,"Bibb County, Georgia",Macon,GA,32.8160362,-83.696579,Wendy's,Fast Food,,,['delivery']
169,"Bibb County, Georgia",Macon,GA,32.83865,-83.66274,Papa's Wings & Deli,Chicken Wings,,Seafood,"['pickup', 'delivery']"
170,"Bibb County, Georgia",Macon,GA,32.8388,-83.6743599,Big Mama's Barbeque,Fast Food,,,"['pickup', 'delivery']"
171,"Bibb County, Georgia",Macon,GA,32.8123285,-83.722531,New China Grill & Buffet,Buffets,,,"['pickup', 'delivery']"
172,"Bibb County, Georgia",Macon,GA,32.8157,-83.66234,Hong Kong Express,Chinese,Burgers,,"['pickup', 'delivery']"
173,"Bibb County, Georgia",Macon,GA,32.8173479004713,-83.698336,Krystal,Burgers,,,"['pickup', 'delivery']"
174,"Bibb County, Georgia",Macon,GA,32.81604,-83.66233,American Wings and Deli,Delis,,Chicken Wings,"['pickup', 'delivery']"
175,"Bibb County, Georgia",Macon,GA,32.7945423298963,-83.6671730875969,DosAmigosTacos,Mexican,Burgers,,"['pickup', 'delivery']"
176,"Bibb County, Georgia",Macon,GA,32.810917,-83.665001,Taiwan Chinese Restaurant,Chinese,,,['delivery']
177,"Bibb County, Georgia",Macon,GA,32.814901,-83.663278,McDonald's,Burgers,Breakfast & Brunch,Coffee & Tea,['delivery']
178,"Bibb County, Georgia",Macon,GA,32.7776604,-83.6606598,Whiskey River,Bars,Seafood,,"['pickup', 'delivery']"
179,"Bibb County, Georgia",Macon,GA,32.81156,-83.66257,Checkers,Burgers,Fast Food,,"['pickup', 'delivery']"
180,"Bibb County, Georgia",Macon,GA,32.7911043,-83.6681418,Waffle House,Diners,,American (Traditional),"['pickup', 'delivery']"
181,"Bibb County, Georgia",Macon,GA,32.8080256,-83.6631649,Burger King,Burgers,Salad,,['delivery']
182,"Bibb County, Georgia",Macon,GA,32.815315,-83.717129,Fajitas Mexican Grill,Mexican,,,[]
183,"Bibb County, Georgia",Macon,GA,32.821022,-83.6625951,Church's Chicken,Chicken Wings,Salad,,['delivery']
184,"Bibb County, Georgia",Macon,GA,32.8160368,-83.6965789,China Max,Chinese,Caterers,,['delivery']
185,"Bibb County, Georgia",Macon,GA,32.7906254678965,-83.6721687018871,Johnny V's Restaurants,Restaurants,,,[]
186,"Bibb County, Georgia",Macon,GA,32.8311116,-83.6627949,Little Caesars,Pizza,,,[]
187,"Bibb County, Georgia",Macon,GA,32.8092995,-83.7231293,Shooters Bar,American (Traditional),Burgers,,"['pickup', 'delivery']"
188,"Bibb County, Georgia",Macon,GA,32.8368168925254,-83.6711598782462,Harmony Vibes,Vegan,,Burgers,[]
189,"Bibb County, Georgia",Macon,GA,32.8315966,-83.6624848,Wing Hut & Boiled Seafood,Chicken Wings,Fast Food,,"['pickup', 'delivery']"
190,"Bibb County, Georgia",Macon,GA,32.831519,-83.663322,US Deli,Delis,Seafood Markets,Chicken Wings,[]
191,"Bibb County, Georgia",Macon,GA,32.809708,-83.662446,Krystal,Burgers,,,[]
192,"Oceanside city, California",Carlsbad,CA,33.180249,-117.324982,Spirito's Italian Diner,Italian,American (Traditional),,"['delivery', 'pickup']"
193,"Oceanside city, California",Oceanside,CA,33.22436,-117.33183,Ricos Antojitos,Juice Bars & Smoothies,,Acai Bowls,['delivery']
194,"Oceanside city, California",Oceanside,CA,33.1830851,-117.3318929,Everbowl,Acai Bowls,Fast Food,Vegan,[]
195,"Oceanside city, California",Oceanside,CA,33.22425,-117.331736,El Chapin Restaurant Bakery & Store,Latin American,,,"['delivery', 'pickup']"
196,"Oceanside city, California",Oceanside,CA,33.19414,-117.35677,Kampai Sushi,Japanese,Arcades,,"['delivery', 'pickup']"
197,"Oceanside city, California",Oceanside,CA,33.17918,-117.36406,Primo Foods,Grocery,Sports Bars,,['delivery']
198,"Oceanside city, California",Oceanside,CA,33.1935432771998,-117.359334784131,Cafe Rosarita,Mexican,,,"['delivery', 'pickup']"
199,"Oceanside city, California",Oceanside,CA,33.19516,-117.35596,Kyoto Gift and Food,Sushi Bars,Sandwiches,,"['delivery', 'pickup']"
200,"Oceanside city, California",Oceanside,CA,33.2319889,-117.323606,San Luis Rey Bakery & Restaurant,Bakeries,,Desserts,['pickup']
201,"Oceanside city, California",Oceanside,CA,33.2283791,-117.3238975,Los Amigos Mexican Food,Mexican,,,"['delivery', 'pickup']"
202,"Oceanside city, California",Oceanside,CA,33.2322722087106,-117.319684538528,Mission San Luis Rey,Museums,Delis,Landmarks & Historical Buildings,[]
203,"Oceanside city, California",Oceanside,CA,33.2377811,-117.2993094,In-N-Out Burger,Fast Food,,,"['delivery', 'pickup']"
204,"Oceanside city, California",Oceanside,CA,33.1755923,-117.3526832,Hunter Steakhouse,Steakhouses,Burgers,Seafood,[]
205,"Oceanside city, California",Oceanside,CA,33.1742126,-117.3609994,Captain's Grounds Coffee,Coffee & Tea,,,"['delivery', 'pickup']"
206,"Oceanside city, California",Oceanside,CA,33.18254,-117.34075,Einstein Bros Bagels,Bagels,,Sandwiches,"['delivery', 'pickup']"
207,"Oceanside city, California",Oceanside,CA,33.227717,-117.331871,Fiesta Mexicana,Mexican,Fast Food,,['delivery']
208,"Oceanside city, California",Oceanside,CA,33.17292,-117.35876,Kona Hut Coffee House,Coffee & Tea,,Breakfast & Brunch,['delivery']
